Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What to do if the patient is prescribed opioid dose>90 mg MEDD?,What,204,proceed to module C,Algorithm,0,0.0,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'prescribed', 'opioid', 'dose>90', 'mg', 'MEDD', '?']","['proceed', 'to', 'module', 'C']",13,4
What are non-opioid treatments for chronic pain?,What,205,physical and psychological treatments,Algorithm,1,1.0,"['What', 'are', 'non', '-', 'opioid', 'treatments', 'for', 'chronic', 'pain', '?']","['physical', 'and', 'psychological', 'treatments']",10,4
What to do if prior medical records are available for review?,What,206,review data and re-assess risks and benefits of continuing OT and consider strength and number of risk factors,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'prior', 'medical', 'records', 'are', 'available', 'for', 'review', '?']","['review', 'data', 'and', 're', '-', 'assess', 'risks', 'and', 'benefits', 'of', 'continuing', 'OT', 'and', 'consider', 'strength', 'and', 'number', 'of', 'risk', 'factors']",12,20
"What to do if there is presence of combined sedating medication that increases risk of adverse events (e.g., benzodiazepine)?",What,208,proceed to module C,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'is', 'presence', 'of', 'combined', 'sedating', 'medication', 'that', 'increases', 'risk', 'of', 'adverse', 'events', '(', 'e.g.', ',', 'benzodiazepine', ')', '?']","['proceed', 'to', 'module', 'C']",23,4
What to do if the patient is experiencing clear functional improvement with minimal risk?,What,209,"continue OT using the following approach: shortest duration, using lowest effective dose (recognizing that no dose is completely safe and overdose risk increases at doses > 20-50 mg MEDD), continual assessment of improvement in pain and functional status and adverse effects",Algorithm,0,0.05,"['What', 'to', 'do', 'if', 'the', 'patient', 'is', 'experiencing', 'clear', 'functional', 'improvement', 'with', 'minimal', 'risk', '?']","['continue', 'OT', 'using', 'the', 'following', 'approach', ':', 'shortest', 'duration', ',', 'using', 'lowest', 'effective', 'dose', '(', 'recognizing', 'that', 'no', 'dose', 'is', 'completely', 'safe', 'and', 'overdose', 'risk', 'increases', 'at', 'doses', '>', '20', '-', '50', 'mg', 'MEDD', ')', ',', 'continual', 'assessment', 'of', 'improvement', 'in', 'pain', 'and', 'functional', 'status', 'and', 'adverse', 'effects']",15,48
What to do if there is no presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events or patient non-participation in a comprehensive pain care plan or other indications for tapering? ,What,210,"reassess and optimize preferred non-opioid treatments for chronic pain (e.g., physical and psychological treatments) recognizing that the patient is willing to continue to engage in a comprehensive treatment plan including non-opioid treatments",Algorithm,0,0.0,"['What', 'to', 'do', 'if', 'there', 'is', 'no', 'presence', 'of', 'prescribed', 'opioid', 'dose>90', 'mg', 'MEDD', 'or', 'combined', 'sedating', 'medication', 'that', 'increases', 'risk', 'of', 'adverse', 'events', 'or', 'patient', 'non', '-', 'participation', 'in', 'a', 'comprehensive', 'pain', 'care', 'plan', 'or', 'other', 'indications', 'for', 'tapering', '?']","['reassess', 'and', 'optimize', 'preferred', 'non', '-', 'opioid', 'treatments', 'for', 'chronic', 'pain', '(', 'e.g.', ',', 'physical', 'and', 'psychological', 'treatments', ')', 'recognizing', 'that', 'the', 'patient', 'is', 'willing', 'to', 'continue', 'to', 'engage', 'in', 'a', 'comprehensive', 'treatment', 'plan', 'including', 'non', '-', 'opioid', 'treatments']",41,39
What to do if there are factors that would require immediate attention?,What,211,"admit/provide treatment to stabilize, including opioid tapering or SUD treatment as indicated",Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'there', 'are', 'factors', 'that', 'would', 'require', 'immediate', 'attention', '?']","['admit', '/', 'provide', 'treatment', 'to', 'stabilize', ',', 'including', 'opioid', 'tapering', 'or', 'SUD', 'treatment', 'as', 'indicated']",13,15
What to do if risks outweigh benefits of continuing OT?,What,212,proceed to module C,Algorithm,1,1.0,"['What', 'to', 'do', 'if', 'risks', 'outweigh', 'benefits', 'of', 'continuing', 'OT', '?']","['proceed', 'to', 'module', 'C']",11,4
What is module D for?,What,213,patients currently on opioid therapy,Algorithm,1,1.0,"['What', 'is', 'module', 'D', 'for', '?']","['patients', 'currently', 'on', 'opioid', 'therapy']",6,5
What may be experienced by the patients with chronic pain?,What,214,"worsened quality of life, mental health, immune system function, physical function, sleep, employment  status, and impaired personal relationships",Background,1,1.0,"['What', 'may', 'be', 'experienced', 'by', 'the', 'patients', 'with', 'chronic', 'pain', '?']","['worsened', 'quality', 'of', 'life', ',', 'mental', 'health', ',', 'immune', 'system', 'function', ',', 'physical', 'function', ',', 'sleep', ',', 'employment', ' ', 'status', ',', 'and', 'impaired', 'personal', 'relationships']",11,25
What is reported more often by the patients with chronic pain than patients without chronic pain?,What,215,"psychological complaints (e.g.,  depression, anxiety, poor self-efficacy, poor general emotional functioning)",Background,1,1.0,"['What', 'is', 'reported', 'more', 'often', 'by', 'the', 'patients', 'with', 'chronic', 'pain', 'than', 'patients', 'without', 'chronic', 'pain', '?']","['psychological', 'complaints', '(', 'e.g.', ',', ' ', 'depression', ',', 'anxiety', ',', 'poor', 'self', '-', 'efficacy', ',', 'poor', 'general', 'emotional', 'functioning', ')']",17,20
What does a comprehensive pain assessment include?,What,216,a biopsychosocial interview and focused physical exam,Background,1,1.0,"['What', 'does', 'a', 'comprehensive', 'pain', 'assessment', 'include', '?']","['a', 'biopsychosocial', 'interview', 'and', 'focused', 'physical', 'exam']",8,7
Who report psychological complaints more often?,Who,217,Patients with chronic pain,Background,1,1.0,"['Who', 'report', 'psychological', 'complaints', 'more', 'often', '?']","['Patients', 'with', 'chronic', 'pain']",7,4
What are some examples of psychological complaints made by patients with chronic pain?,What,218,"depression, anxiety, poor self-efficacy, poor general emotional functioning",Background,1,1.0,"['What', 'are', 'some', 'examples', 'of', 'psychological', 'complaints', 'made', 'by', 'patients', 'with', 'chronic', 'pain', '?']","['depression', ',', 'anxiety', ',', 'poor', 'self', '-', 'efficacy', ',', 'poor', 'general', 'emotional', 'functioning']",14,13
What can be associated with pain severity and the presence of  psychiatric comorbidities?,What,219,"Worsening of some of these factors (e.g., quality of  life, change in employment status)",Background,1,1.0,"['What', 'can', 'be', 'associated', 'with', 'pain', 'severity', 'and', 'the', 'presence', 'of', ' ', 'psychiatric', 'comorbidities', '?']","['Worsening', 'of', 'some', 'of', 'these', 'factors', '(', 'e.g.', ',', 'quality', 'of', ' ', 'life', ',', 'change', 'in', 'employment', 'status', ')']",15,19
What are the elements of the biopsychosocial pain interview?,What,220,"a pain-related history, assessment of pertinent  medical and psychiatric comorbidities including personal and family history of SUD, functional status and  functional goals, coping strategies, and a variety of psychosocial factors such as the patient’s beliefs and  expectations about chronic pain and its treatment",Background,0,0.04878048780487806,"['What', 'are', 'the', 'elements', 'of', 'the', 'biopsychosocial', 'pain', 'interview', '?']","['a', 'pain', '-', 'related', 'history', ',', 'assessment', 'of', 'pertinent', ' ', 'medical', 'and', 'psychiatric', 'comorbidities', 'including', 'personal', 'and', 'family', 'history', 'of', 'SUD', ',', 'functional', 'status', 'and', ' ', 'functional', 'goals', ',', 'coping', 'strategies', ',', 'and', 'a', 'variety', 'of', 'psychosocial', 'factors', 'such', 'as', 'the', 'patient', '’s', 'beliefs', 'and', ' ', 'expectations', 'about', 'chronic', 'pain', 'and', 'its', 'treatment']",10,53
What are some examples of social and psychological consequences on account of chronic pain?,What,221,"decreased  ability to successfully maintain relationship and career roles and increased depression, fear, and anxiety as  a result of pain",Background,0,0.8823529411764706,"['What', 'are', 'some', 'examples', 'of', 'social', 'and', 'psychological', 'consequences', 'on', 'account', 'of', 'chronic', 'pain', '?']","['decreased', ' ', 'ability', 'to', 'successfully', 'maintain', 'relationship', 'and', 'career', 'roles', 'and', 'increased', 'depression', ',', 'fear', ',', 'and', 'anxiety', 'as', ' ', 'a', 'result', 'of', 'pain']",15,24
Where can the guidance on management of SUD be found?,Where,222,the VA/DoD SUD CPG,Recommendations,1,1.0,"['Where', 'can', 'the', 'guidance', 'on', 'management', 'of', 'SUD', 'be', 'found', '?']","['the', 'VA', '/', 'DoD', 'SUD', 'CPG']",11,6
When must special attention be given to ensure that the Veteran does not feel abandoned?,When,224,When a decision is made to taper,Specifications,1,1.0,"['When', 'must', 'special', 'attention', 'be', 'given', 'to', 'ensure', 'that', 'the', 'Veteran', 'does', 'not', 'feel', 'abandoned', '?']","['When', 'a', 'decision', 'is', 'made', 'to', 'taper']",16,7
What are Motivational Interviewing (MI) techniques used for?,What,225,to acknowledge the Veteran’s fears about tapering,Specifications,1,1.0,"['What', 'are', 'Motivational', 'Interviewing', '(', 'MI', ')', 'techniques', 'used', 'for', '?']","['to', 'acknowledge', 'the', 'Veteran', '’s', 'fears', 'about', 'tapering']",11,8
What is PHI?,What,226,Personal Health Inventory,Specifications,1,1.0,"['What', 'is', 'PHI', '?']","['Personal', 'Health', 'Inventory']",4,3
Who to include in the discussion?,Who,227,family members or other supporters,Specifications,1,1.0,"['Who', 'to', 'include', 'in', 'the', 'discussion', '?']","['family', 'members', 'or', 'other', 'supporters']",7,5
Which techniques to use to acknowledge the Veteran’s fears about tapering?,Which,228,Motivational Interviewing (MI),Specifications,1,1.0,"['Which', 'techniques', 'to', 'use', 'to', 'acknowledge', 'the', 'Veteran', '’s', 'fears', 'about', 'tapering', '?']","['Motivational', 'Interviewing', '(', 'MI', ')']",13,5
What should be done prior to any changes being made in opioid prescribing?,What,229,"a discussion should occur between the Veteran, family members/caregivers, and the provider either during a face-to-face appointment or on the telephone",Specifications,1,1.0,"['What', 'should', 'be', 'done', 'prior', 'to', 'any', 'changes', 'being', 'made', 'in', 'opioid', 'prescribing', '?']","['a', 'discussion', 'should', 'occur', 'between', 'the', 'Veteran', ',', 'family', 'members', '/', 'caregivers', ',', 'and', 'the', 'provider', 'either', 'during', 'a', 'face', '-', 'to', '-', 'face', 'appointment', 'or', 'on', 'the', 'telephone']",14,29
What strategies will help in the transition?,What,230,"discussion, asking about goals, educating the veteran",Specifications,1,1.0,"['What', 'strategies', 'will', 'help', 'in', 'the', 'transition', '?']","['discussion', ',', 'asking', 'about', 'goals', ',', 'educating', 'the', 'veteran']",8,9
What is included in the discussion?,What,232,"listening to the Veteran’s story, letting the Veteran know that you believe that their pain is real, using Motivational Interviewing (MI) techniques to acknowledge the Veteran’s fears about tapering",Specifications,0,0.0,"['What', 'is', 'included', 'in', 'the', 'discussion', '?']","['listening', 'to', 'the', 'Veteran', '’s', 'story', ',', 'letting', 'the', 'Veteran', 'know', 'that', 'you', 'believe', 'that', 'their', 'pain', 'is', 'real', ',', 'using', 'Motivational', 'Interviewing', '(', 'MI', ')', 'techniques', 'to', 'acknowledge', 'the', 'Veteran', '’s', 'fears', 'about', 'tapering']",7,35
What should not be the drawn-out life goals?,What,233,just being pain-free,Specifications,1,1.0,"['What', 'should', 'not', 'be', 'the', 'drawn', '-', 'out', 'life', 'goals', '?']","['just', 'being', 'pain', '-', 'free']",11,5
How to make sure that the veteran does not feel abandoned when a decision is made to taper?,How,234,special attention must be given to ensure that the Veteran does not feel abandoned,Specifications,0,0.5555555555555556,"['How', 'to', 'make', 'sure', 'that', 'the', 'veteran', 'does', 'not', 'feel', 'abandoned', 'when', 'a', 'decision', 'is', 'made', 'to', 'taper', '?']","['special', 'attention', 'must', 'be', 'given', 'to', 'ensure', 'that', 'the', 'Veteran', 'does', 'not', 'feel', 'abandoned']",19,14
What was the basis for the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain published in 2010?,What,235,evidence reviewed through March 2009,Introduction,1,1.0,"['What', 'was', 'the', 'basis', 'for', 'the', 'Clinical', 'Practice', 'Guideline', 'for', 'Management', 'of', 'Opioid', 'Therapy', 'for', 'Chronic', 'Pain', 'published', 'in', '2010', '?']","['evidence', 'reviewed', 'through', 'March', '2009']",21,5
When was the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain published?,When,237,2010,Introduction,1,1.0,"['When', 'was', 'the', 'Clinical', 'Practice', 'Guideline', 'for', 'Management', 'of', 'Opioid', 'Therapy', 'for', 'Chronic', 'Pain', 'published', '?']",['2010'],16,1
Who published the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain (2010 OT CPG)?,Who,240,the VA and DoD,Introduction,1,1.0,"['Who', 'published', 'the', 'Clinical', 'Practice', 'Guideline', 'for', 'Management', 'of', 'Opioid', 'Therapy', 'for', 'Chronic', 'Pain', '(', '2010', 'OT', 'CPG', ')', '?']","['the', 'VA', 'and', 'DoD']",20,4
What does the National Drug Control Strategy advocate?,What,1,take back programs,Recommendations,0,0.6666666666666666,"['What', 'does', 'the', 'National', 'Drug', 'Control', 'Strategy', 'advocate', '?']","['take', 'back', 'programs']",9,3
What were the top five most common medications collected in a 2013 medication take back event in a Michigan community?,What,2,pain relievers,Recommendations,1,1.0,"['What', 'were', 'the', 'top', 'five', 'most', 'common', 'medications', 'collected', 'in', 'a', '2013', 'medication', 'take', 'back', 'event', 'in', 'a', 'Michigan', 'community', '?']","['pain', 'relievers']",21,2
Why has returning unused opioid medications been explored as a strategy to reduce the amount of opioids in  the community?,Why,3,it has been estimated that 70% of opioid prescriptions are left unused,Recommendations,0,0.9600000000000001,"['Why', 'has', 'returning', 'unused', 'opioid', 'medications', 'been', 'explored', 'as', 'a', 'strategy', 'to', 'reduce', 'the', 'amount', 'of', 'opioids', 'in', ' ', 'the', 'community', '?']","['it', 'has', 'been', 'estimated', 'that', '70', '%', 'of', 'opioid', 'prescriptions', 'are', 'left', 'unused']",22,13
Who does advocate take back programs as an effective tool?,Who,4,the National Drug Control Strategy,Recommendations,1,1.0,"['Who', 'does', 'advocate', 'take', 'back', 'programs', 'as', 'an', 'effective', 'tool', '?']","['the', 'National', 'Drug', 'Control', 'Strategy']",11,5
